"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Concave Decrease","20%",1950,1,1,1,"median"
"2","Concave Decrease","20%",1951,1.0474174797805,0.973242802276341,1.00544991641197,"median"
"3","Concave Decrease","20%",1952,1.07974342866035,0.970730139523519,1.01847018827542,"median"
"4","Concave Decrease","20%",1953,1.10951508368063,0.97738821853732,1.03830519856778,"median"
"5","Concave Decrease","20%",1954,1.14462228022309,0.9904019966256,1.06056455599538,"median"
"6","Concave Decrease","20%",1955,1.16886246328004,0.999726902364236,1.0752806242223,"median"
"7","Concave Decrease","20%",1956,1.17512230278396,1.00229832139068,1.07971537015895,"median"
"8","Concave Decrease","20%",1957,1.16861110384114,0.991437326234172,1.07419129350288,"median"
"9","Concave Decrease","20%",1958,1.16162152549696,0.978618729558137,1.06608664273599,"median"
"10","Concave Decrease","20%",1959,1.15629512029035,0.961955586364382,1.05745951835363,"median"
"11","Concave Decrease","20%",1960,1.15569745500817,0.953057537650455,1.05107997958347,"median"
"12","Concave Decrease","20%",1961,1.16028279224836,0.943782458846962,1.04745185499378,"median"
"13","Concave Decrease","20%",1962,1.1623137591422,0.948236358877038,1.04938197889529,"median"
"14","Concave Decrease","20%",1963,1.1694164412293,0.952765353327977,1.05510677797382,"median"
"15","Concave Decrease","20%",1964,1.17975402577516,0.961577576438838,1.06357896313462,"median"
"16","Concave Decrease","20%",1965,1.20218445676708,0.966064311948019,1.07331338240397,"median"
"17","Concave Decrease","20%",1966,1.21710969762284,0.971407272875517,1.08025518753716,"median"
"18","Concave Decrease","20%",1967,1.21880198862229,0.96462077856115,1.08462776509704,"median"
"19","Concave Decrease","20%",1968,1.22268994545087,0.962954499272754,1.08464556092113,"median"
"20","Concave Decrease","20%",1969,1.21445866472583,0.960545632166847,1.07675463355006,"median"
"21","Concave Decrease","20%",1970,1.20476948504736,0.947641248882313,1.06476988450879,"median"
"22","Concave Decrease","20%",1971,1.19745173086735,0.940272625627525,1.05532267770081,"median"
"23","Concave Decrease","20%",1972,1.19371165170887,0.93436604195173,1.05448466159448,"median"
"24","Concave Decrease","20%",1973,1.19899077303639,0.933314189055499,1.05951919244382,"median"
"25","Concave Decrease","20%",1974,1.19515746570719,0.93088215242635,1.06084344357857,"median"
"26","Concave Decrease","20%",1975,1.19309429220768,0.930679974168166,1.05533791907541,"median"
"27","Concave Decrease","20%",1976,1.18658666859237,0.921254121766071,1.04472566585106,"median"
"28","Concave Decrease","20%",1977,1.17711185985145,0.912706137014208,1.03578864031329,"median"
"29","Concave Decrease","20%",1978,1.17625358637311,0.908636901715495,1.03152970165153,"median"
"30","Concave Decrease","20%",1979,1.17637181407239,0.911402683894441,1.03231936985064,"median"
"31","Concave Decrease","20%",1980,1.17712153871995,0.914276925732716,1.03500448651923,"median"
"32","Concave Decrease","20%",1981,1.1786808083699,0.909896917954428,1.03803151223406,"median"
"33","Concave Decrease","20%",1982,1.18376305358677,0.909552800738809,1.03890644004254,"median"
"34","Concave Decrease","20%",1983,1.18693310472085,0.918067849247385,1.04154100361203,"median"
"35","Concave Decrease","20%",1984,1.1937761374181,0.922766877210201,1.04582602381349,"median"
"36","Concave Decrease","20%",1985,1.19881356591807,0.920348014832457,1.05045947072749,"median"
"37","Concave Decrease","20%",1986,1.19571209621831,0.917354782737152,1.04758376100995,"median"
"38","Concave Decrease","20%",1987,1.18207289516047,0.905237765163054,1.03427814039809,"median"
"39","Concave Decrease","20%",1988,1.16255441879948,0.886172208002065,1.01213977951904,"median"
"40","Concave Decrease","20%",1989,1.13667970946491,0.861449877185373,0.990444955969617,"median"
"41","Concave Decrease","20%",1990,1.12237010206501,0.83996140806949,0.974510218530055,"median"
"42","Concave Decrease","20%",1991,1.12098364311819,0.831141122397065,0.971362350902864,"median"
"43","Concave Decrease","20%",1992,1.13430980356737,0.844812931003936,0.980180744121068,"median"
"44","Concave Decrease","20%",1993,1.14816838383655,0.859897454219447,0.991108746947931,"median"
"45","Concave Decrease","20%",1994,1.15605582827795,0.858434441534508,0.996594553879036,"median"
"46","Concave Decrease","20%",1995,1.15381083173846,0.85106255826594,0.991457340889716,"median"
"47","Concave Decrease","20%",1996,1.14414908327993,0.835073038770488,0.976966279077169,"median"
"48","Concave Decrease","20%",1997,1.11845191832897,0.813984136561921,0.963073058639258,"median"
"49","Concave Decrease","20%",1998,1.11108546370217,0.807867752965006,0.953068728357876,"median"
"50","Concave Decrease","20%",1999,1.09950410460735,0.80502056283371,0.943701426082174,"median"
"51","Concave Decrease","20%",2000,1.08483852488109,0.792572378785225,0.93328754047188,"median"
"52","Concave Decrease","20%",2001,1.07642485225436,0.78031998402994,0.923063486513492,"median"
"53","Concave Decrease","20%",2002,1.07937168136535,0.771340218987005,0.916394293625053,"median"
"54","Concave Decrease","20%",2003,1.07534193721799,0.764374975174756,0.909323421901709,"median"
"55","Concave Decrease","20%",2004,1.05713266420209,0.753143494586882,0.895223219556392,"median"
"56","Concave Decrease","20%",2005,1.03022011543541,0.732618011124034,0.876809343536611,"median"
"57","Concave Decrease","20%",2006,0.999130012475459,0.712246523097071,0.849863236520157,"median"
"58","Concave Decrease","20%",2007,0.96450580387264,0.687209447492025,0.821967754828263,"median"
"59","Concave Decrease","20%",2008,0.933194403728834,0.667868777179868,0.796896823806092,"median"
"60","Concave Decrease","20%",2009,0.915274738619615,0.650729270611736,0.773509991584223,"median"
"61","Concave Decrease","20%",2010,0.89331569380561,0.634730928791694,0.751294106214425,"median"
"62","Concave Decrease","20%",2011,0.86902196416659,0.615353055135259,0.728897844862157,"median"
"63","Concave Decrease","20%",2012,0.835429026562697,0.587755105645908,0.703552411949995,"median"
"64","Concave Decrease","20%",2013,0.79805793374361,0.559214149263261,0.673157174730153,"median"
"65","Concave Decrease","20%",2014,0.757152236565845,0.530924754573954,0.638809478716222,"median"
"66","Concave Decrease","20%",2015,0.716641507941387,0.50186130892207,0.601682341525611,"median"
"67","Concave Decrease","20%",2016,0.673872444115098,0.472032266321867,0.562903134786421,"median"
"68","Concave Decrease","20%",2017,0.6299853058182,0.439678720943739,0.524982428097449,"median"
"69","Concave Decrease","20%",2018,0.583803268628441,0.40780058050659,0.48759866844894,"median"
"70","Concave Decrease","20%",2019,0.537748033247627,0.374889623732792,0.451067952625092,"median"
"71","Concave Decrease","20%",2020,0.500489100419159,0.342877530682049,0.417375599013898,"median"
"72","Concave Decrease","20%",2021,0.500489100419159,0.342877530682049,0.417375599013898,"median"
"73","Concave Decrease","40%",1950,1,1,1,"median"
"74","Concave Decrease","40%",1951,1.08828927741321,0.936000722529408,1.00782820897272,"median"
"75","Concave Decrease","40%",1952,1.12910379242935,0.924704009328996,1.02207866167739,"median"
"76","Concave Decrease","40%",1953,1.16644016269761,0.942018782332513,1.03752944734544,"median"
"77","Concave Decrease","40%",1954,1.18591043958382,0.953962212469402,1.05308158575164,"median"
"78","Concave Decrease","40%",1955,1.20991892904333,0.94756198072735,1.06945864966458,"median"
"79","Concave Decrease","40%",1956,1.21301410589446,0.958394747338708,1.07183970720517,"median"
"80","Concave Decrease","40%",1957,1.2170983849787,0.950085536811346,1.07172528112077,"median"
"81","Concave Decrease","40%",1958,1.21598834982264,0.95002336376501,1.06830908207506,"median"
"82","Concave Decrease","40%",1959,1.22073546358136,0.925486432341707,1.0635851608342,"median"
"83","Concave Decrease","40%",1960,1.21149581525902,0.93249465470765,1.05405440616325,"median"
"84","Concave Decrease","40%",1961,1.21321909202198,0.935706557217828,1.05010471265068,"median"
"85","Concave Decrease","40%",1962,1.21065132002841,0.921693550052316,1.04678892958395,"median"
"86","Concave Decrease","40%",1963,1.22346539493273,0.921839716309103,1.05293575124113,"median"
"87","Concave Decrease","40%",1964,1.23342997210428,0.934037101149313,1.06040997159585,"median"
"88","Concave Decrease","40%",1965,1.23744548433676,0.941761628994597,1.07157863571234,"median"
"89","Concave Decrease","40%",1966,1.25964741705566,0.951282328975652,1.08611901696554,"median"
"90","Concave Decrease","40%",1967,1.26317733651441,0.937649915520837,1.08105616892172,"median"
"91","Concave Decrease","40%",1968,1.26382360425251,0.940816730646294,1.08156435522559,"median"
"92","Concave Decrease","40%",1969,1.25433253366281,0.9356809581133,1.07532897221571,"median"
"93","Concave Decrease","40%",1970,1.24640755930941,0.919586349297555,1.0657020360153,"median"
"94","Concave Decrease","40%",1971,1.2343726123262,0.909848616961802,1.05544471911206,"median"
"95","Concave Decrease","40%",1972,1.23796417364282,0.911946533924367,1.05302802730073,"median"
"96","Concave Decrease","40%",1973,1.24923475953309,0.904080336151484,1.06233011898936,"median"
"97","Concave Decrease","40%",1974,1.23847070455444,0.895568721715091,1.05517918131323,"median"
"98","Concave Decrease","40%",1975,1.22781604066735,0.874309406461877,1.05195880017521,"median"
"99","Concave Decrease","40%",1976,1.21515656249203,0.866769176323558,1.04211391746328,"median"
"100","Concave Decrease","40%",1977,1.20793074804559,0.871992731886427,1.03827317463475,"median"
"101","Concave Decrease","40%",1978,1.19794748954261,0.852501914509412,1.03153413531427,"median"
"102","Concave Decrease","40%",1979,1.21456177298294,0.856976999953281,1.03398079783151,"median"
"103","Concave Decrease","40%",1980,1.20664722662304,0.866873276040211,1.0343918886392,"median"
"104","Concave Decrease","40%",1981,1.22686263041875,0.871700775903436,1.03830246261746,"median"
"105","Concave Decrease","40%",1982,1.2308322182335,0.871056534631925,1.03811813179548,"median"
"106","Concave Decrease","40%",1983,1.2366722763052,0.868960417715772,1.04296409137048,"median"
"107","Concave Decrease","40%",1984,1.24690852176286,0.870022561195037,1.04534853245371,"median"
"108","Concave Decrease","40%",1985,1.24013001656155,0.870918796745611,1.04049225735571,"median"
"109","Concave Decrease","40%",1986,1.23244624674658,0.8694621142094,1.04226511507096,"median"
"110","Concave Decrease","40%",1987,1.22423523885394,0.854106138984056,1.02978926659918,"median"
"111","Concave Decrease","40%",1988,1.21294586186047,0.841743014009574,1.00969594988552,"median"
"112","Concave Decrease","40%",1989,1.19065518482499,0.829496704065924,0.994648348386884,"median"
"113","Concave Decrease","40%",1990,1.16426685956835,0.815279644933358,0.980350361192841,"median"
"114","Concave Decrease","40%",1991,1.16114856967756,0.806889311632518,0.975951367430712,"median"
"115","Concave Decrease","40%",1992,1.16241810460607,0.822565348820941,0.977840629935325,"median"
"116","Concave Decrease","40%",1993,1.17656261473368,0.816154878161385,0.983416317611724,"median"
"117","Concave Decrease","40%",1994,1.19043259763563,0.823168368885013,0.990482257265195,"median"
"118","Concave Decrease","40%",1995,1.19273715406697,0.820106797324138,0.984631476359102,"median"
"119","Concave Decrease","40%",1996,1.175651628959,0.780067315912106,0.97724963173043,"median"
"120","Concave Decrease","40%",1997,1.16633611723524,0.787569144413564,0.966402027397684,"median"
