"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Convex Decrease","20%",1950,1,1,1,"median"
"2","Convex Decrease","20%",1951,0.868423228511767,0.831681843172334,0.853228797409905,"median"
"3","Convex Decrease","20%",1952,0.809526557125603,0.743607288862096,0.774594691739675,"median"
"4","Convex Decrease","20%",1953,0.789676525252908,0.707487860298676,0.744691549234797,"median"
"5","Convex Decrease","20%",1954,0.791628269635007,0.69863492636865,0.740151299629388,"median"
"6","Convex Decrease","20%",1955,0.794692620364633,0.694907179006122,0.74014402554805,"median"
"7","Convex Decrease","20%",1956,0.782005911527181,0.684234736273901,0.729093959295964,"median"
"8","Convex Decrease","20%",1957,0.763553463764353,0.66444600103346,0.71060524816025,"median"
"9","Convex Decrease","20%",1958,0.748895090038826,0.642122153281242,0.692511923431712,"median"
"10","Convex Decrease","20%",1959,0.736020764527733,0.624825927199842,0.677647039911686,"median"
"11","Convex Decrease","20%",1960,0.722495285417359,0.611824438671517,0.664070103355963,"median"
"12","Convex Decrease","20%",1961,0.711154181882104,0.601500891084038,0.652595963290153,"median"
"13","Convex Decrease","20%",1962,0.704407886620047,0.593224324074415,0.645451110786885,"median"
"14","Convex Decrease","20%",1963,0.701692077818294,0.58801711388198,0.641232961450846,"median"
"15","Convex Decrease","20%",1964,0.701587380466012,0.583694731516075,0.640030992704089,"median"
"16","Convex Decrease","20%",1965,0.703736172511604,0.581965027486844,0.639153235626867,"median"
"17","Convex Decrease","20%",1966,0.702744698058857,0.578457263532616,0.638379552291107,"median"
"18","Convex Decrease","20%",1967,0.698853964520779,0.575276075251792,0.634704725953026,"median"
"19","Convex Decrease","20%",1968,0.693283072827432,0.56714223348688,0.627833923298557,"median"
"20","Convex Decrease","20%",1969,0.682958926096126,0.558676370577178,0.618395352580446,"median"
"21","Convex Decrease","20%",1970,0.669503415318847,0.547583748376308,0.605649795673378,"median"
"22","Convex Decrease","20%",1971,0.658738685604753,0.538019292498741,0.596656186246215,"median"
"23","Convex Decrease","20%",1972,0.653498196468772,0.531875352250426,0.589851083854206,"median"
"24","Convex Decrease","20%",1973,0.651970193690967,0.529395703050038,0.587062172602862,"median"
"25","Convex Decrease","20%",1974,0.648418236387517,0.524805483356078,0.58351166645836,"median"
"26","Convex Decrease","20%",1975,0.640311443757027,0.517953443664516,0.576835169241791,"median"
"27","Convex Decrease","20%",1976,0.63079290525097,0.509079909440572,0.567504858914726,"median"
"28","Convex Decrease","20%",1977,0.6231299193993,0.501782625996835,0.558814994973112,"median"
"29","Convex Decrease","20%",1978,0.618049756232812,0.496090852024039,0.554312872648562,"median"
"30","Convex Decrease","20%",1979,0.616075232841921,0.493718393681833,0.551327422252059,"median"
"31","Convex Decrease","20%",1980,0.613262496230039,0.49159262650719,0.549422240012261,"median"
"32","Convex Decrease","20%",1981,0.610226912756096,0.489609848845836,0.546693368683088,"median"
"33","Convex Decrease","20%",1982,0.609498491228383,0.485921161418008,0.545358507957518,"median"
"34","Convex Decrease","20%",1983,0.610544222807125,0.484207431930578,0.544951450282678,"median"
"35","Convex Decrease","20%",1984,0.61128274957754,0.485160421145249,0.545297078919484,"median"
"36","Convex Decrease","20%",1985,0.611631941176352,0.484895260484692,0.544762060693791,"median"
"37","Convex Decrease","20%",1986,0.607852947321272,0.4820882474188,0.54174568875802,"median"
"38","Convex Decrease","20%",1987,0.601077792609063,0.474384484894688,0.534630378846938,"median"
"39","Convex Decrease","20%",1988,0.587504173283344,0.463312212250273,0.521624130615663,"median"
"40","Convex Decrease","20%",1989,0.572806991595443,0.45134504179384,0.509209501040385,"median"
"41","Convex Decrease","20%",1990,0.562328591210734,0.442259452047156,0.498445120292565,"median"
"42","Convex Decrease","20%",1991,0.560738780995266,0.43980316661015,0.496552978719621,"median"
"43","Convex Decrease","20%",1992,0.567145358038198,0.442838820160862,0.50078478992906,"median"
"44","Convex Decrease","20%",1993,0.575575584952313,0.447247953422326,0.507328027873541,"median"
"45","Convex Decrease","20%",1994,0.577482607981064,0.450224090010287,0.510355566225719,"median"
